"order_purchase_date","orders_count","customers_making_orders_count","revenue_usd","average_revenue_per_order_usd","top_3_product_categories_by_revenue","top_3_product_categories_revenue_percentage"
2017-04-01,68,26.00,8051.440008163452,118.40,"eletroportateis, perfumaria","59.60, 11.37"
2017-03-31,70,31.00,4259.69998550415,60.85,"ferramentas_jardim, brinquedos","51.65, 6.76"
2017-03-30,74,25.00,4045.080015182495,54.66,"cool_stuff, telefonia_fixa","15.75, 13.84"
2017-03-29,74,34.00,3483.8299884796143,47.08,"ferramentas_jardim, cama_mesa_banho","19.09, 10.72"
2017-03-28,103,38.00,4497.49002456665,43.66,"brinquedos, fashion_bolsas_e_acessorios","16.45, 8.42"
2017-03-27,111,50.00,8833.39988899231,79.58,"informatica_acessorios, eletroportateis","37.87, 10.18"
2017-03-26,64,26.00,2011.7300052642822,31.43,"moveis_decoracao, automotivo","22.77, 13.42"
2017-03-25,76,30.00,2936.3500003814697,38.64,"pet_shop, esporte_lazer","30.55, 12.28"
2017-03-24,79,30.00,3054.54998588562,38.67,"cama_mesa_banho, utilidades_domesticas","20.12, 15.06"
2017-03-23,114,42.00,6538.69989824295,57.36,"informatica_acessorios, cool_stuff","35.57, 15.87"
2017-03-22,105,32.00,6775.260080337524,64.53,"relogios_presentes, cool_stuff","29.33, 12.37"
2017-03-21,97,39.00,4504.15998840332,46.43,"esporte_lazer, eletronicos","30.87, 11.08"
2017-03-20,119,48.00,4053.6499938964844,34.06,"beleza_saude, perfumaria","15.95, 11.35"
2017-03-19,56,14.00,2984.210006713867,53.29,"perfumaria, beleza_saude","30.62, 13.40"
2017-03-18,73,26.00,7862.4099798202515,107.70,"pet_shop, esporte_lazer","31.77, 12.32"
2017-03-17,65,22.00,5641.510040283203,86.79,"relogios_presentes, moveis_escritorio","23.05, 12.03"
2017-03-16,103,34.00,6645.109975814819,64.52,"automotivo, informatica_acessorios","18.82, 8.84"
2017-03-15,108,32.00,4839.739986419678,44.81,"relogios_presentes, beleza_saude","13.43, 12.36"
2017-03-14,99,40.00,6170.229984283447,62.33,"eletroportateis, utilidades_domesticas","26.48, 17.33"
2017-03-13,111,41.00,4854.440029144287,43.73,"beleza_saude, cool_stuff","21.54, 15.63"
2017-03-12,64,21.00,2860.9800004959106,44.70,"moveis_decoracao, beleza_saude","16.73, 15.50"
2017-03-11,71,24.00,5421.410038471222,76.36,"climatizacao, cama_mesa_banho","16.05, 14.28"
2017-03-10,88,33.00,5755.2999629974365,65.40,"ferramentas_jardim, informatica_acessorios","21.72, 20.30"
2017-03-09,93,35.00,4620.919958114624,49.69,"eletroportateis, beleza_saude","25.77, 11.90"
2017-03-08,79,28.00,5355.1399002075195,67.79,"informatica_acessorios, consoles_games","57.79, 6.53"
2017-03-07,82,26.00,3194.180013656616,38.95,"relogios_presentes, cama_mesa_banho","14.72, 13.42"
2017-03-06,105,48.00,5391.640007972717,51.35,"dvds_blu_ray, moveis_escritorio","26.34, 10.27"
2017-03-05,74,31.00,3070.099997520447,41.49,"esporte_lazer, moveis_decoracao","25.21, 21.68"
2017-03-04,80,28.00,3315.230007171631,41.44,"moveis_decoracao, instrumentos_musicais","15.67, 14.78"
2017-03-03,74,34.00,7138.120055198669,96.46,"ferramentas_jardim, cool_stuff","20.31, 16.77"
2017-03-02,72,27.00,6160.02000617981,85.56,"esporte_lazer, climatizacao","43.02, 14.45"
2017-03-01,99,38.00,4930.960006713867,49.81,"esporte_lazer, cama_mesa_banho","45.30, 14.74"
2017-02-28,55,18.00,3106.160026550293,56.48,"cool_stuff, brinquedos","37.63, 23.82"
2017-02-27,43,16.00,2047.2100038528442,47.61,"moveis_decoracao, moveis_sala","23.66, 16.11"
2017-02-26,46,24.00,2535.240032196045,55.11,"automotivo, moveis_decoracao","47.33, 15.91"
2017-02-25,43,14.00,1879.9499912261963,43.72,"moveis_decoracao, relogios_presentes","26.92, 22.02"
2017-02-24,64,24.00,2930.9399757385254,45.80,"beleza_saude, perfumaria","28.03, 24.22"
2017-02-23,59,20.00,2104.260036468506,35.67,"moveis_decoracao, esporte_lazer","24.50, 22.63"
